#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.717527E-01   0.387781E+07   0.386519E+07  -0.191911E+02  -0.191912E+02   0.510398E+06   0.386056E+07   0.387581E+07   0.386056E+07  -0.917623E-01   0.202353E+07   0.202348E+07   0.271122E+00
   0.744897E-01   0.372900E+07   0.371665E+07  -0.171249E+02  -0.171250E+02   0.468421E+06   0.371228E+07   0.372704E+07   0.371228E+07  -0.882377E-01   0.194584E+07   0.194578E+07   0.269460E+00
   0.772267E-01   0.358000E+07   0.356751E+07  -0.152970E+02  -0.152971E+02   0.429685E+06   0.356375E+07   0.357802E+07   0.356375E+07  -0.847074E-01   0.186801E+07   0.186794E+07   0.282848E+00
   0.799637E-01   0.343190E+07   0.341894E+07  -0.136782E+02  -0.136782E+02   0.394004E+06   0.341609E+07   0.342984E+07   0.341609E+07  -0.811975E-01   0.179063E+07   0.179056E+07   0.305336E+00
   0.827007E-01   0.328633E+07   0.327271E+07  -0.122457E+02  -0.122458E+02   0.361269E+06   0.327092E+07   0.328416E+07   0.327092E+07  -0.777471E-01   0.171456E+07   0.171448E+07   0.331555E+00
   0.854377E-01   0.314506E+07   0.313068E+07  -0.109807E+02  -0.109807E+02   0.331386E+06   0.313004E+07   0.314278E+07   0.313004E+07  -0.743984E-01   0.164073E+07   0.164064E+07   0.356952E+00
   0.881747E-01   0.300970E+07   0.299459E+07  -0.986596E+01  -0.986598E+01   0.304249E+06   0.299506E+07   0.300730E+07   0.299506E+07  -0.711899E-01   0.156999E+07   0.156989E+07   0.377938E+00
   0.909116E-01   0.288159E+07   0.286586E+07  -0.888587E+01  -0.888589E+01   0.279733E+06   0.286732E+07   0.287909E+07   0.286732E+07  -0.681537E-01   0.150305E+07   0.150294E+07   0.391956E+00
   0.936486E-01   0.276183E+07   0.274565E+07  -0.802608E+01  -0.802611E+01   0.257686E+06   0.274793E+07   0.275926E+07   0.274793E+07  -0.653159E-01   0.144048E+07   0.144037E+07   0.397471E+00
   0.963856E-01   0.265127E+07   0.263489E+07  -0.727352E+01  -0.727354E+01   0.237957E+06   0.263774E+07   0.264866E+07   0.263774E+07  -0.626969E-01   0.138273E+07   0.138262E+07   0.393908E+00
   0.991226E-01   0.255051E+07   0.253419E+07  -0.661619E+01  -0.661621E+01   0.220385E+06   0.253737E+07   0.254792E+07   0.253737E+07  -0.603112E-01   0.133013E+07   0.133001E+07   0.381528E+00
   0.101860E+00   0.245984E+07   0.244385E+07  -0.604290E+01  -0.604291E+01   0.204791E+06   0.244709E+07   0.245730E+07   0.244709E+07  -0.581654E-01   0.128281E+07   0.128270E+07   0.361282E+00
   0.104597E+00   0.237913E+07   0.236372E+07  -0.554303E+01  -0.554305E+01   0.190986E+06   0.236678E+07   0.237668E+07   0.236678E+07  -0.562563E-01   0.124072E+07   0.124061E+07   0.334639E+00
   0.107334E+00   0.230781E+07   0.229320E+07  -0.510649E+01  -0.510650E+01   0.178763E+06   0.229586E+07   0.230549E+07   0.229586E+07  -0.545706E-01   0.120354E+07   0.120345E+07   0.303402E+00
   0.110071E+00   0.224493E+07   0.223127E+07  -0.472375E+01  -0.472377E+01   0.167911E+06   0.223336E+07   0.224276E+07   0.223336E+07  -0.530851E-01   0.117079E+07   0.117070E+07   0.269533E+00
   0.112808E+00   0.218922E+07   0.217661E+07  -0.438607E+01  -0.438609E+01   0.158215E+06   0.217802E+07   0.218722E+07   0.217802E+07  -0.517698E-01   0.114178E+07   0.114171E+07   0.234981E+00
   0.115545E+00   0.213921E+07   0.212771E+07  -0.408562E+01  -0.408563E+01   0.149477E+06   0.212838E+07   0.213739E+07   0.212838E+07  -0.505898E-01   0.111577E+07   0.111570E+07   0.201547E+00
   0.118282E+00   0.209339E+07   0.208297E+07  -0.381557E+01  -0.381558E+01   0.141513E+06   0.208290E+07   0.209174E+07   0.208290E+07  -0.495088E-01   0.109193E+07   0.109187E+07   0.170769E+00
   0.121019E+00   0.205025E+07   0.204083E+07  -0.357013E+01  -0.357014E+01   0.134162E+06   0.204008E+07   0.204875E+07   0.204008E+07  -0.484910E-01   0.106948E+07   0.106943E+07   0.143850E+00
   0.123756E+00   0.200838E+07   0.199984E+07  -0.334451E+01  -0.334452E+01   0.127288E+06   0.199851E+07   0.200702E+07   0.199851E+07  -0.475028E-01   0.104770E+07   0.104765E+07   0.121610E+00
   0.126493E+00   0.196658E+07   0.195876E+07  -0.313493E+01  -0.313494E+01   0.120781E+06   0.195698E+07   0.196533E+07   0.195698E+07  -0.465157E-01   0.102593E+07   0.102589E+07   0.104478E+00
   0.129230E+00   0.192391E+07   0.191665E+07  -0.293856E+01  -0.293857E+01   0.114563E+06   0.191457E+07   0.192276E+07   0.191457E+07  -0.455076E-01   0.100370E+07   0.100366E+07   0.925056E-01
   0.131967E+00   0.187982E+07   0.187293E+07  -0.275348E+01  -0.275348E+01   0.108582E+06   0.187070E+07   0.187872E+07   0.187070E+07  -0.444651E-01   0.980707E+06   0.980674E+06   0.854089E-01
