#           k/h    P           
   0.731304E+01   0.510174E+00
   0.746077E+01   0.484392E+00
   0.761149E+01   0.459897E+00
   0.776525E+01   0.436623E+00
   0.792212E+01   0.414513E+00
   0.808217E+01   0.393508E+00
   0.824543E+01   0.373554E+00
   0.841200E+01   0.354599E+00
   0.858193E+01   0.336594E+00
   0.875530E+01   0.319491E+00
   0.893217E+01   0.303248E+00
   0.911261E+01   0.287820E+00
   0.929670E+01   0.273167E+00
   0.948451E+01   0.259252E+00
   0.967610E+01   0.246037E+00
   0.987158E+01   0.233488E+00
   0.100710E+02   0.221571E+00
   0.102744E+02   0.210256E+00
   0.104820E+02   0.199512E+00
   0.106938E+02   0.189310E+00
   0.109098E+02   0.179625E+00
   0.111302E+02   0.170429E+00
   0.113550E+02   0.161699E+00
   0.115844E+02   0.153412E+00
   0.118184E+02   0.145544E+00
   0.120572E+02   0.138076E+00
   0.123007E+02   0.130986E+00
   0.125492E+02   0.124257E+00
   0.128027E+02   0.117870E+00
   0.130614E+02   0.111808E+00
   0.133252E+02   0.106054E+00
   0.135944E+02   0.100593E+00
   0.138691E+02   0.954107E-01
   0.141492E+02   0.904925E-01
   0.144351E+02   0.858253E-01
   0.147267E+02   0.813964E-01
   0.150242E+02   0.771938E-01
   0.153277E+02   0.732061E-01
   0.156373E+02   0.694223E-01
   0.159532E+02   0.658322E-01
   0.162755E+02   0.624259E-01
   0.166043E+02   0.591942E-01
   0.169397E+02   0.561282E-01
   0.172819E+02   0.532195E-01
   0.176310E+02   0.504601E-01
   0.179872E+02   0.478424E-01
   0.183505E+02   0.453593E-01
   0.187212E+02   0.430039E-01
   0.190994E+02   0.407696E-01
   0.194853E+02   0.386504E-01
   0.198789E+02   0.366403E-01
   0.202805E+02   0.347339E-01
   0.206902E+02   0.329257E-01
   0.211081E+02   0.312108E-01
   0.215346E+02   0.295845E-01
   0.219696E+02   0.280421E-01
   0.224134E+02   0.265795E-01
   0.228662E+02   0.251925E-01
   0.233281E+02   0.238772E-01
   0.237994E+02   0.226300E-01
   0.242802E+02   0.214474E-01
   0.247707E+02   0.203261E-01
   0.252710E+02   0.192629E-01
   0.257816E+02   0.182548E-01
   0.263024E+02   0.172991E-01
   0.268337E+02   0.163930E-01
   0.273758E+02   0.155339E-01
   0.279288E+02   0.147195E-01
   0.284930E+02   0.139474E-01
   0.290686E+02   0.132155E-01
   0.296558E+02   0.125217E-01
   0.302549E+02   0.118640E-01
   0.308661E+02   0.112406E-01
   0.314897E+02   0.106497E-01
   0.321258E+02   0.100896E-01
   0.327748E+02   0.955866E-02
   0.334369E+02   0.905547E-02
   0.341123E+02   0.857856E-02
   0.348014E+02   0.812657E-02
   0.355045E+02   0.769820E-02
   0.362217E+02   0.729223E-02
   0.369535E+02   0.690750E-02
   0.377000E+02   0.654290E-02
   0.384616E+02   0.619740E-02
   0.392386E+02   0.586999E-02
   0.400312E+02   0.555975E-02
   0.408399E+02   0.526577E-02
   0.416649E+02   0.498721E-02
   0.425066E+02   0.472327E-02
   0.433653E+02   0.447319E-02
   0.442413E+02   0.423624E-02
   0.451350E+02   0.401175E-02
   0.460469E+02   0.379906E-02
   0.469770E+02   0.359755E-02
   0.479261E+02   0.340664E-02
   0.488942E+02   0.322579E-02
   0.498820E+02   0.305445E-02
   0.508896E+02   0.289215E-02
   0.519177E+02   0.273840E-02
   0.529665E+02   0.259275E-02
   0.540365E+02   0.245479E-02
   0.551281E+02   0.232411E-02
   0.562417E+02   0.220033E-02
   0.573779E+02   0.208308E-02
   0.585370E+02   0.197204E-02
   0.597195E+02   0.186686E-02
   0.609260E+02   0.176724E-02
   0.621568E+02   0.167289E-02
   0.634124E+02   0.158354E-02
   0.646934E+02   0.149892E-02
   0.660003E+02   0.141878E-02
   0.673336E+02   0.134288E-02
   0.686938E+02   0.127101E-02
   0.700816E+02   0.120296E-02
   0.714973E+02   0.113851E-02
   0.729416E+02   0.107748E-02
   0.744151E+02   0.101970E-02
   0.759184E+02   0.964982E-03
   0.774521E+02   0.913174E-03
   0.790167E+02   0.864121E-03
   0.806129E+02   0.817677E-03
   0.822415E+02   0.773704E-03
   0.839028E+02   0.732073E-03
   0.855978E+02   0.692658E-03
   0.873269E+02   0.655344E-03
   0.890911E+02   0.620019E-03
   0.908908E+02   0.586578E-03
   0.927270E+02   0.554920E-03
   0.946001E+02   0.524952E-03
   0.965112E+02   0.496585E-03
   0.984608E+02   0.469732E-03
   0.100450E+03   0.444315E-03
   0.102479E+03   0.420257E-03
   0.104549E+03   0.397486E-03
   0.106661E+03   0.375933E-03
   0.108816E+03   0.355535E-03
   0.111014E+03   0.336229E-03
   0.113257E+03   0.317957E-03
   0.115545E+03   0.300666E-03
   0.117879E+03   0.284301E-03
   0.120260E+03   0.268815E-03
   0.122690E+03   0.254161E-03
   0.125168E+03   0.240294E-03
   0.127697E+03   0.227172E-03
   0.130277E+03   0.214756E-03
   0.132908E+03   0.203008E-03
   0.135593E+03   0.191893E-03
   0.138332E+03   0.181376E-03
   0.141127E+03   0.171426E-03
   0.143978E+03   0.162013E-03
   0.146886E+03   0.153107E-03
   0.149854E+03   0.144682E-03
   0.152881E+03   0.136713E-03
   0.155969E+03   0.129174E-03
   0.159120E+03   0.122043E-03
   0.162334E+03   0.115298E-03
   0.165614E+03   0.108918E-03
   0.168960E+03   0.102884E-03
   0.172373E+03   0.971773E-04
   0.175855E+03   0.917804E-04
   0.179407E+03   0.866765E-04
   0.183032E+03   0.818501E-04
   0.186729E+03   0.772861E-04
   0.190501E+03   0.729707E-04
   0.194350E+03   0.688904E-04
   0.198276E+03   0.650326E-04
   0.202281E+03   0.613854E-04
   0.206368E+03   0.579375E-04
   0.210536E+03   0.546781E-04
   0.214790E+03   0.515971E-04
   0.219129E+03   0.486850E-04
   0.223555E+03   0.459325E-04
   0.228071E+03   0.433312E-04
   0.232679E+03   0.408728E-04
   0.237379E+03   0.385498E-04
   0.242175E+03   0.363547E-04
   0.247067E+03   0.342807E-04
   0.252058E+03   0.323213E-04
   0.257150E+03   0.304702E-04
   0.262345E+03   0.287217E-04
   0.267644E+03   0.270702E-04
   0.273051E+03   0.255103E-04
   0.278567E+03   0.240373E-04
   0.284195E+03   0.226463E-04
   0.289936E+03   0.213330E-04
   0.295793E+03   0.200931E-04
   0.301768E+03   0.189226E-04
   0.307864E+03   0.178178E-04
   0.314084E+03   0.167750E-04
   0.320428E+03   0.157910E-04
   0.326902E+03   0.148625E-04
   0.333505E+03   0.139865E-04
   0.340243E+03   0.131601E-04
   0.347116E+03   0.123807E-04
   0.354128E+03   0.116457E-04
   0.361282E+03   0.109527E-04
   0.368581E+03   0.102992E-04
   0.376026E+03   0.968327E-05
   0.383623E+03   0.910271E-05
   0.391372E+03   0.855559E-05
   0.399279E+03   0.804008E-05
   0.407344E+03   0.755445E-05
   0.415573E+03   0.709706E-05
   0.423968E+03   0.666634E-05
   0.432533E+03   0.626082E-05
   0.441271E+03   0.587910E-05
   0.450185E+03   0.551984E-05
   0.459279E+03   0.518178E-05
   0.468558E+03   0.486374E-05
   0.478023E+03   0.456457E-05
   0.487680E+03   0.428322E-05
   0.497532E+03   0.401867E-05
   0.507582E+03   0.376998E-05
   0.517837E+03   0.353626E-05
   0.528297E+03   0.331665E-05
   0.538970E+03   0.311035E-05
   0.549857E+03   0.291659E-05
   0.560966E+03   0.273464E-05
   0.572298E+03   0.256382E-05
   0.583859E+03   0.240348E-05
   0.595653E+03   0.225301E-05
   0.607687E+03   0.211181E-05
   0.619962E+03   0.197934E-05
   0.632487E+03   0.185509E-05
   0.645264E+03   0.173855E-05
   0.658299E+03   0.162928E-05
   0.671597E+03   0.152683E-05
   0.685165E+03   0.143078E-05
   0.699006E+03   0.134076E-05
   0.713127E+03   0.125639E-05
